Year,quarter,ukos,mode,purpose,package,Age,Sex,duration,Expected spend,country,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Male,4-13 nights,227.82,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Male,14-27 nights,2127.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Female,4-13 nights,393.81,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,65 & over,Male,4-13 nights,586.39,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,65 & over,Female,4-13 nights,674.63,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,4-13 nights,189.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,28-90 nights,100.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,6 months-year,0.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Female,1-3 nights,44.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Female,14-27 nights,441.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Female,28-90 nights,200.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,55-64,Male,14-27 nights,703.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Male,14-27 nights,560.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Female,1-3 nights,80.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Female,14-27 nights,500.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Non-Independent,65 & over,Male,4-13 nights,368.00,Cyprus EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Female,4-13 nights,110.00,Cyprus Non EU,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Male,4-13 nights,153.00,Cyprus Non EU,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,1-3 nights,251.57,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,4-13 nights,872.88,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,1-3 nights,88.84,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,4-13 nights,350.00,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,1-3 nights,194.00,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,4-13 nights,280.28,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,1-3 nights,399.01,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,4-13 nights,661.74,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Female,1-3 nights,459.69,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Female,4-13 nights,517.82,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Female,1-3 nights,30.00,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Female,1-3 nights,200.00,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,65 & over,Female,1-3 nights,288.00,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,D/K,#NULL!,1-3 nights,328.00,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,D/K,#NULL!,4-13 nights,491.00,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Female,1-3 nights,451.00,Denmark,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,25-34,Male,1-3 nights,700.00,Denmark,,,,
